,내용
353,제로웨이스트라이프수돗물을 마시는것 만으로도환경보호를 할 수 있다는거 알고 계신가요 미국에서 생수 페트병을 만드는데매년 석유 만 배럴이 쓰이고 있습니다 연구소의 조사에 따르면바르셀로나 인구가 생수만 마신다고 가정할때생수 추출 가공 과정에서 해마다생물 종이 멸종한다는 결론을 얻었다고 합니다 생태계에 미치는 영향은 생수가수돗물보다 무려 배나 크다고 해요 수돗물을 음용할때는 탄소 발생량이 당 만 발생되는 것에 비해생수를 마실때는 배가 많은 정수기는 배 많은 이 발생된다고 합니다 수돗물을 마시는것만으로도 환경보호에 큰 도움이 되겠죠 한국의 수질지수는 개국 중에 위 검사항목은 가지로 일본 호주 캐나다보다더 많은 영역을 검사하고 있습니다 집에서 나오는 수돗물 수질이 불안하다면전문수질검사원의 가정방문 수질검사를 이용해보세요 무료로 진행되며 물사랑 홈페이지에서 신청할 수 있습니다 또 마이워터 국가상수도시스템에서동네수질을 확인할수 있습니다 수돗물을 마시기로 가장 쉬운 환경보호를 실천해보세요 저는 개인적으로 물을 끓여마시는걸 좋아하는데요 여름에는 유칼립투스 를 겨울에는 연잎차를 끓여마시고 있어요 수돗물 음용으로 제로웨이스트 함께해요 자세한 포스팅은 블로그를 참고해주세요 환경보호 미니멀라이프 미니멀라이프도전 환경오염 환경오염줄이기 제로플라스틱 세컨핸드샵 패션스타그램 빈티지샵 수돗물가치인플루언서제로웨이스트라이프수돗물을 제로웨이스트 환경보호 미니멀라이프 미니멀라이프도전 환경오염 환경오염줄이기 제로플라스틱 세컨핸드샵 패션스타그램 빈티지샵 수돗물가치인플루언서
354,착해가지구 플라스틱 재활용 환경오염 재활용상점 제로웨이스트샵 자원순환가게이전에 자주가던 카페가 폐업을하고새로운 가게가 생겼다 전부터 가보고싶었는데갈때마다 문이닫혀서 어떤가게일까 많이궁금했었다오늘은 볼일을보고 돌아오는길에 문이열려있어서 구경을하고왔다취지가 너무 훌륭하다라고 느꼈다나는 우리나란 플라스틱쓰레기를 많이배출하는나라라가나름생각을해왔다실제로 바다도플라스틱쓰레기가많아지고가면갈수록 매립을할곳도 적어지고 플라스틱이포화가 되었다고느껴진다그래서그런지 플라스틱쓰레기를버릴땐 세척후에 라벨을제거해서내가버린쓰레기가 재활용이되었므면좋겠다 라고생각을한다하지만 일일히 노동자가 수작업으로 분류를해서우리가 제대로 버리지않으면 결국쓰레기로되는 아쉬운현실 ㅜㅜ이가게를들르고 어떤가게인지 설명을듣게되었다플라스틱을 배출할때 이곳에서 단위로 판매를할수있고 직접분리수거를할수있다또한 소량의 판매수익도얻을수있다다음엔 이곳에서 판매를해봐야겠다 층엔 재활용소품들도 있었다오늘은 리코타치즈나 마스카포네치즈를만들때 유용한 면보와씹는치약을 구매커피찌꺼기 커피박 으로 연필이나 화분등으로 재탄생이되고나무소품이나 면제품등을 여러구경해봤다다음엔 유리나 스테인레스빨대를써보는것도괜찮을것같다저자극약산성비누도 궁금할거같고호기심이 가득생기는가게다 다음에 다시들려봐야지착해가지구 플라스틱 재활용 환경오염 재활용상점 제로웨이스트샵 자원순환가게이전에
355,나는누구일까요바다의 천연기념물 제 이름은 점박이물범 이에요 동그란 머리와 큰 눈망울 오동통한 몸에 귀여운 얼굴을 가진 저는이름처럼 검은색의 불규칙한 반점 무늬가 몸 전체에 퍼져 있어요 저는 멸종위기 야생생물 등급이자 천연기념물 제 호로 지정된 해양보호생물이에요 한국에서 발견할 수 있는 유일한 해양포유동물이랍니다 점박이물범의 이야기 한 번 들어보실래요 표준을 준수하는 어업은환경영향을 최소화한다는 원칙에 따라멸종 위기 생물들을 보호하기 위해폐그물 분실을 관리하는 방안을 마련하고 있습니다 점박이물범이 살아가는 건강한 바다 함께 지켜 주실 거죠 지속가능어업 함께지켜요 천연기념물 점박이물범 물범 바다생물이야기 해양관리협의회 지속가능성 건강한바다 오늘바다 에코라벨 인증 해양생물 바다생물 해양환경 해양보호 해양자원보호 멸종위기 멸종위기종 환경오염 해양오염나는누구일까요바다의 지속가능어업 함께지켜요 천연기념물 점박이물범 물범 바다생물이야기 해양관리협의회 지속가능성 건강한바다 오늘바다 에코라벨 인증 해양생물 바다생물 해양환경 해양보호 해양자원보호 멸종위기 멸종위기종 환경오염 해양오염
356,녹녹의 초록한 환경뉴스 환경을 지키는 간헐적 채식 채식 이 환경오염을 줄일 수 있다 과도한 육류 소비를 줄이면 인당 연간 이상의 이산화탄소 감축 효과가 발생된다는 사실 우리 모두 육류 소비를 줄이고 일주일에 한 번 간헐적 채식 을 통해 환경과 우리의 건강까지 챙겨보는 것이 어떨가요 우바세챌린지 우리가바꾸는세상우바세챌린지 우리가바꾸는세상
357,오늘도 난 장바구니와 함께마트를 횡단중 오늘저녁은 뭘 해야하나 광주시와함께 장바구니 사용해요 인증샷이벤트 광주시 광주시청 그리니 크리니 인증샷이벤트 이벤트 회용품 회용봉투 환경 보호 인스타그램이벤트 환경오염 자연 일회용봉투줄이기 일회용품줄이기 장바구니 함께해요광주시와함께 장바구니 사용해요 인증샷이벤트 광주시 광주시청 그리니 크리니 인증샷이벤트 이벤트 회용품 회용봉투 환경 보호 인스타그램이벤트 환경오염 자연 일회용봉투줄이기 일회용품줄이기 장바구니 함께해요
358,괭이갈매기 서천 장항송림산림욕장 새 새사진 자연 야생동물 괭이갈매기 갈매기 환경오염새 새사진 자연 야생동물 괭이갈매기 갈매기 환경오염
359,파루 태양광 양축트랙커라고 도 회전 한다고 하네요처음보는 태양광패널이에요
360,일시장안에 새로운 변화시장에 무인점포가 사장님 급한일 있으셨나 ㅎ 데비마이어그린백 챙겨가서 아오리 사과 담기 장바구니 들고 시장보기 광주시청 인증샷 회용 봉투 대신 장바구니 이용해요 광주시와함께 장바구니 사용해요 인증샷이벤트 말바우시장 광주시 광주시청 그리니 크리니 인증샷이벤트 이벤트 회용품 회용봉투 환경 보호 인스타그램이벤트 환경오염 자연 일회용봉투줄이기 일회용품줄이기 장바구니 함께해요 광주시와함께해요데비마이어그린백 광주시와함께 장바구니 사용해요 인증샷이벤트 말바우시장 광주시 광주시청 그리니 크리니 인증샷이벤트 이벤트 회용품 회용봉투 환경 보호 인스타그램이벤트 환경오염 자연 일회용봉투줄이기 일회용품줄이기 장바구니 함께해요 광주시와함께해요
361,안녕하세요 그린패키지솔루션입니다 오늘은 플라스틱과 친환경 패키지의 차이점은 뭘까 라는 주제로 여러분께 이야기해드리려 하는데요 최근 환경오염의 심각성에 대한 이슈가 대두화되면서 플라스틱과 친환경 패키지에 대해 관심을 가지고 계신 분들이 많으실 것 같아요 그런데 여러분 플라스틱과 친환경 패키지의 차이점이 무엇인지 제대로 알고 계셨나요 최근 코로나 의 장기화 인 세대 가구 증가 등으로 인해 배달음식이나 새벽배송에 대한 수요가 높아지면서 이로 인한 환경오염 또한 심각해지고 있는 상황인데요 플라스틱이 우리 환경에 좋지 않은 영향을 미친다는 사실을 모두 알고 있기는 하지만 플라스틱이 정확히 우리 환경에 어떤 영향을 미쳐 오염을 유발하는지에 대해서는 알지 못하고 계신 분들이 더 많은 것 같은데요 그렇다면 지금부터 플라스틱의 문제점은 무엇인지 그리고 친환경 패키지의 중요성에 대해 다함께 알아보도록 할까요 더 많은 내용이 궁금하다면 그린패키지솔루션 공식 블로그로 친환경 필환경 환경용어 플라스틱 미세플라스틱 제로웨이스트 탄소중립 플로깅 녹색제품 그린뉴딜 그린패키지솔루션 식스아웃 환경보존 환경오염 플라스틱아웃 노플라스틱 분리배출 비건 채식주의 환경오염 그린서포터즈 대학생서포터즈친환경 필환경 환경용어 플라스틱 미세플라스틱 제로웨이스트 탄소중립 플로깅 녹색제품 그린뉴딜 그린패키지솔루션 식스아웃 환경보존 환경오염 플라스틱아웃 노플라스틱 분리배출 비건 채식주의 환경오염 그린서포터즈 대학생서포터즈
362,지구를위해 환경을위해 광주시와함께 장바구니 사용해요 인증샷이벤트 인증샷 회용 봉투 대신 장바구니 이용해요 이벤트 기간 월 일 화 월 일 월 당첨자 발표일 월 일 수 이벤트 경품 베스킨라빈스 싱글레귤러 아이스크림 명 참여방법 광주시청 인스타그램 팔로우하기 회용 봉트 대신 장바구니를 사용하고 인증샷을개인 인스타그램에 광주시 인스타그램 태그 필수 해시태그 업로드 필수 해시태그 광주시와함께 장바구니 사용해요 인증샷이벤트 광주시 광주시청 그리니 크리니 인증샷이벤트 이벤트 회용품 회용봉투 환경 보호 인스타그램이벤트 환경오염 자연 일회용봉투줄이기 일회용품줄이기 장바구니 함께해요광주시와함께 장바구니 사용해요 인증샷이벤트 광주시와함께 장바구니 사용해요 인증샷이벤트 광주시 광주시청 그리니 크리니 인증샷이벤트 이벤트 회용품 회용봉투 환경 보호 인스타그램이벤트 환경오염 자연 일회용봉투줄이기 일회용품줄이기 장바구니 함께해요
363,나의 마음을 나누다 자연 일회용품 코로나 팬데믹 환경오염 윤회 유산 바이러스 택배 어리석음 후손 자신 빚 생존 죽음 쓰레기 분리수거 힘 윤회 자연보호자연 일회용품 코로나 팬데믹 환경오염 윤회 유산 바이러스 택배 어리석음 후손 자신 빚 생존 죽음 쓰레기 분리수거 힘 윤회 자연보호
364,리그램 인증샷 회용 봉투 대신 장바구니 이용해요 이벤트 기간 월 일 화 월 일 월 당첨자 발표일 월 일 수 이벤트 경품 베스킨라빈스 싱글레귤러 아이스크림 명 참여방법 광주시청 인스타그램 팔로우하기 회용 봉트 대신 장바구니를 사용하고 인증샷을개인 인스타그램에 광주시 인스타그램 태그 필수 해시태그 업로드 필수 해시태그 광주시와함께 장바구니 사용해요 인증샷이벤트 광주시 광주시청 그리니 크리니 인증샷이벤트 이벤트 회용품 회용봉투 환경 보호 인스타그램이벤트 환경오염 자연 일회용봉투줄이기 일회용품줄이기 장바구니 함께해요리그램 광주시와함께 장바구니 사용해요 인증샷이벤트 광주시 광주시청 그리니 크리니 인증샷이벤트 이벤트 회용품 회용봉투 환경 보호 인스타그램이벤트 환경오염 자연 일회용봉투줄이기 일회용품줄이기 장바구니 함께해요
365,안녕하세요친환경 바이오 베이스 플라스틱 원료와 제품을 생산하는 친환경 소재 기업 입니다 추석 선물 마음을 담아 정성껏 준비해서 보낸 식품이 상하면 마음이 아프겠죠 저희 에코네이쳐 포장재는 항균작용을 통해 식품의 신선도를 장기간 유지해 줍니다 친환경 친환경포장 친환경제품 바이오베이스플라스틱 환경보호 추석선물 추석 특허 기술 포장재 식품 식품포장재 채소 야채 과일 육류 수산물 항균 자체생산 자체제작 플라스틱 제로웨이스트 지구온난화 환경오염 지구온난화친환경 친환경포장 친환경제품 바이오베이스플라스틱 환경보호 추석선물 추석 특허 기술 포장재 식품 식품포장재 채소 야채 과일 육류 수산물 항균 자체생산 자체제작 플라스틱 제로웨이스트 지구온난화 환경오염 지구온난화
366,우리 퀴즈 이벤트 힌트 서포터즈 이벤트 이벤트참여 이벤트그램 상품 대외활동 대외활동맞팔 대외활동선팔맞팔 환경보전협회 환경부 비점오염 비점오염서포터즈 여우비 우리 우리사이서포터즈 이벤트 이벤트참여 이벤트그램 상품 대외활동 대외활동맞팔 대외활동선팔맞팔 환경보전협회 환경부 비점오염 비점오염서포터즈 여우비 우리 우리사이
367,이번주 포렌뉴스 주제는 플라스틱 환경 오염 입니다 오늘은 넷플릭스 오리지널 다큐멘터리 브로큰 제 화 플라스틱 재앙 편을 소개하려고 해요 플라스틱 이외에도 화장품 부작용 담배 중독 일회용 가구의 사회 문제를 다루며 총 개의 에피소드로 구성되어 있으니 다양한 사회적 이슈를 알아가고자 하는 분들께 많은 도움이 될 것 같아요 위시사이클링 재활용이 되지 않는 쓰레기를 재활용품 수거함에 넣는 행위 사실 지금까지 만든 모든 플라스틱은 아직도 존재한다고 해요 이는 절대 사라지지 않으며 자연적으로 분해되려면 년이 걸리는데 아직까지는 이 사실조차 검증이 어려운 상황이지요 이러한 플라스틱의 생산량은 년마다 배로 증가하고 있으며 플라스틱 환경 오염의 본질적인 문제를 해결하기 위해서는 석유화학기업이 플라스틱의 생산량 자체를 줄이고 폐기물로 인한 환경오염 정화작업에 힘써야 할 것입니다 플라스틱 재활용 표기 중 번을 제외하면 실제로 재활용 가능한 것은 없습니다 이러한 재활용 순환 마크는 미국 플라스틱 기업들이 마케팅을 위해 도입하기 시작한 것입니다 이러한 상황 속에서 우리는 기업이 성장하되 지구를 훼손하지 않는 올바른 규제환경을 조성해야 합니다 소비자 일상 속 작은 것부터 제로 웨이스트 실천을 위해 노력정부 소비자의 친환경적 행동을 독려해줄 법제와 규정 마련과학계 안전한 플라스틱 개발 및 인체 내분비계를 교란시키지 않는 화학물질 만들기기업 플라스틱 재활용 시장 확대 및 바이오 플라스틱 등 대체재에 투자개인의 행동은 매우 중요합니다 우리가 매일하는 작은 행동들이 하나하나 쌓이고 이것들이 모여 작지 않은 영향을 미치며 결국 지구 환경의 변화를 이끌어 낼 것입니다
368,제주 사회적 거리두기가 단계로 격상이 됨에 따라 디프다에서 진행하는 다함께 소규모 봉그깅은 월 말로 연기되었어요 하지만 봉그깅마시깅은 계속 참여가능해요 거리두기 지침에 따라 저녁 시 이후에는 명만 참여가능하니 이점 꼭꼭 지켜주세요 봉그깅하러 가긴 어렵지만 집에서도 충분히 봉그깅 할 수 있어요 바로 쓰레기 줄이기인데요 내가 배출하는 쓰레기들을 잘 살펴보고 줄일 수 있는 한가지를 줄여보는 건 어떨까요 생각보다 불편하지 않고 마음도 뿌듯해져요 바로 쓰레기를 줄이기 어렵다면 분리배출 방법을 찾아보고 올바른 분리배출을 해보면 어떨까요 멸균팩과 종이를 구분하여 배출하는 멸종위기 캠페인에 참여해보거나 제주에 계신다면 용기냉가게 캠페인도 참여해보면 좋을 것 같아요 어려운 시기이지만 지혜롭게 집에서도 봉그깅해봐요 함께해요 같이갑시다멸종위기 용기냉가게
369,지구숨숨의 꽃피우는 이 블루머 은샘이 이번 프로젝트에 아카이버로 참여하여 우리의 프로젝트를 기록합니다 바다 바라 바래 보다 프로젝트리서치트립 기록 화 우리의 첫번째 일정은 지구별숨숨마을 주민이기도 한 귤의정원바령 이다 선흘의 산아래턱 즈음 위치한 무농약유기농 귤 정원 바령 은 제주 말인데 소와 말을 이용해 땅을 비옥하게 만드는 방법을 뜻하는 단어로 제주의 자연 유기농법이라고 할 수 있다 무농약과 유기농은 같지 않은데 무농약은 말 그대로 농약이고 유기농은 화학비료라고 할 수 있다 자연의 섭리를 잘 관찰하여 적용하면 인공 화학의 무언가를 쓰지 않고도 맛있는 귤을 먹으며 우리 몸과 지구 땅과 물 을 건강하게 할 수 있다 그래서 바령의 귤은 껍질째로 먹을 수 있고 요즘 시기에는 청귤을 수확하면 청귤청을 담궈 새콤달콤한 차를 마실 수 있다 농장지기들 두 분의 이야기를 듣고 넓은 귤정원 을 산책하며 귤나무와 어울려 자라는 다양한 식물들을 곤충들을 만날 수 있었다 아주 건강하고 행복한 모두들 바령은 예초 잡초제거 를 할때도 그 풀에 터 잡은 곤충들을 위해 듬성듬성하게 풀들을 제거하고 베어낸 풀 사이에 있던 곤충들이 근처의 베지 않은 풀 틈으로 이동할 수 있도록 베어낸 풀들은 그 자리에 눞혀 깔아 흙이 되게 한다 눕혀진 풀들이 시간과 자연의 힘으로 비료가 된다 바령 정원의 길은 정말로 푹신푹신하고 초록초록했다 농약 대신으로는 제주의 바닷물을 사용한다고 하셨다 나무가 염해를 입지 않도록 희석한 바닷물을 나무에 골고루 뿌려주는 것으로 해충을 방제하고 계셨다 청정 제주 바다가 깨끗하게 유지되어야 우리는 더 맛있고 건강한 귤을 오래오래 먹을 수 있다 민들레샘 바령지기님 이 직접 뜨신 귤 모자를 쓰고 귤정원에서 찰칵찰칵 비닐로 업싸이클링하여 만드신 예쁜 바구니 가방들도 있었다 우리는 청귤따기체험 대신 농장을 찾을 분들이 곧 만날 수 있을 스머지스틱만들기 를 미리 체험해볼 수 있었다 귤정원을 산책하며 바구니에 쑥과 로즈마리를 잘라 담았다 그리곤 처음에 바령의 이야기를 들었던 곳에 다시 모여 바령의 봄쑥으로 만든 쑥떡을 바령의 귤꽃으로 양봉한 귤꽃꿀 에 찍어 먹었다 그리고 귤꽃꿀차 와 함께 차와 떡을 먹으며 나뭇가지에 감겨있는 실로 잘라 온 쑥과 로즈마리를 차근히 둘러 묶어주었다 이제는 볕과 바람에 잘 마르기를 기다리면 된다 스머지스틱은 향과 연기로 공간과 에너지를 정화하는 도구 하늘도 눈 앞도 바닥도 푸르디 푸르고 귀도 코도 입까지 즐거운 바령 방문기 제주도 선흘감귤농장 감귤정원 친환경농법 무농약 유기농 친환경 귤농장 본 프로젝트는 계정의 프로필링크 카카오 같이가치 를 통해 응원과 후원하실 수 있답니다 응원 댓글 공유를눌러주시면 여러분의 마음이 기부됩니다 많관부 지구숨숨 카카오같이가치 아름다운재단 제주도 바다바라바래보다 에코필름 너와나의바다 환경오염 해양오염 기후위기 환경프로젝트 환경영상 제주바다 아름다운제주를지켜주세요지구별숨숨마을 귤의정원바령 무농약유기농 바령 귤정원 청귤따기체험 스머지스틱만들기 귤꽃꿀 귤꽃꿀차 제주도 선흘감귤농장 감귤정원 친환경농법 무농약 유기농 친환경 귤농장 지구숨숨 카카오같이가치 아름다운재단 제주도 바다바라바래보다 에코필름 너와나의바다 환경오염 해양오염 기후위기 환경프로젝트 환경영상 제주바다 아름다운제주를지켜주세요
370,자원순환 안녕하세요 우 바 세 챌린지의 팀 입니다이번엔 자원순환 게시물로 돌아왔습니다 자원순환이란 폐기물 발생을 줄이고 만들어진 폐기물을 재활용 또는 처리하며 자원의 순환과정을 환경친화적으로 이용 관리하는 것을 말합니다우리도 을 통해 자원순환에 동참할 수 있어요 자원을 단순히 한 번 쓰고 버리는 것이 아니라 재사용하고 소비를 줄여 우리 모두 자원순환을 위해 노력해요 환경 환경보호 대외활동 대외활동맞팔 우바세 우바세챌린지 선팔맞팔 대학생 부경대 폐기물처리 폐기물 쓰레기 재활용 자원순환 환경오염환경 환경보호 대외활동 대외활동맞팔 우바세 우바세챌린지 선팔맞팔 대학생 부경대 폐기물처리 폐기물 쓰레기 재활용 자원순환 환경오염
371,코로나 로 자동차 극장에 대한 수요가 늘어 대기업도 자동차 극장 시장에 뛰어들 만큼 인기를 끌고 있지만 정작 환경오염을 유발할 수 있는 자동차 공회전 문제는 뒷전이라는 지적이 일고 있다 자동차 자동차극장 자동차공회전 공회전 환경 환경오염 환경문제 대기오염 코로나 코로나 사태 뉴스 데일리뉴스자동차 자동차극장 자동차공회전 공회전 환경 환경오염 환경문제 대기오염 코로나 코로나 사태 뉴스 데일리뉴스
372,바 하 에코팀 유튜브에 바다키퍼 소개 영상이 올라갔어요 링크는 프로필 설명에 있습니다 아니면 유튜브에 에코팀 검색하시면 바로 나와요 바다키퍼의 목적 목표 활동방법 등이 소개되어 있으니 시간 되시면 조회 및 공유 부탁드립니다 우리 함께 같이 쓰레기 주워요 더운 날 함께 고생해주시고 장황하게 늘어놓은 말을 달변가처럼 편집해주신 한규님 께 정말 감사드려요 너무 더운데 함께 쓰레기 주워준 친구들 모두 감사합니다 촬영지원에코팀
373,이전에는 봄을 생각하면 벚꽃을 떠올렸지만 지금은 미세 먼지를 걱정하잖아요 지금 환경을 보호하지 않으면 다음 세대는 우리가 누렸던 깨끗하고 아름다운 바다를 볼 수 없을 거예요 쉐코가 지구를 위해 다양한 환경 오염물 회수 기술을 개발하는 이유입니다 인터뷰 전문은 프로필 링크를 통해 확인하세요 매월 첫째 셋째주 화요일 발행됩니다
374,북극 자연 환경오염 생태파괴 미래 포스터 북극곰 휴식 자연파괴 환경보호 온난화북극 자연 환경오염 생태파괴 미래 포스터 북극곰 휴식 자연파괴 환경보호 온난화
375,편리한 일상생활을 위해 사용하는 일회용품은 거의 대부분이 플라스틱인 경우가 많죠 여러분은 플라스틱 제품을 일주일에 몇 개 정도 사용하나요 전 세계적으로 플라스틱 폐기물 배출량이 늘어나면서 지구 온난화 미세 플라스틱 문제 생태계 교란 등 환경문제가 심각해지고 있는데요 최근 국민권익위원회가 플라스틱 폐기물에 대한 국민의견을 조사했다고 해요 지금 청렴부산 블로그에서 해당 내용을 만나보세요 청렴부산 플라스틱 플라스틱줄이기 환경오염 일회용품 배달 포장용기 탈플라스틱 폐기물 배출청렴부산 플라스틱 플라스틱줄이기 환경오염 일회용품 배달 포장용기 탈플라스틱 폐기물 배출
376,일 현지시간 영국 가디언은 해양 플라스틱에 적응해 살아가는 미생물집단 플라스틱스피어 라고 불리는 곳에서 플라스틱을 먹는 사는 박테리아가 발견됐다고 보도했다 플라스틱스피어 는 박테리아와 곰팡이를 포함한 플라스틱으로 이뤄진 생태계를 지칭하는 말이다 현재는 이 의미가 확장돼 게나 해파리 등 해양 플라스틱에 서식하는 생물체들을 모두 아우르는 뜻이다 그런데 얼마전 페트병을 분해할 수 있는 박테리아도 발견됐다 이른바 플라스틱을 먹는 박테리아다 티오클라바 과 바실루스 로 알려진 이 박테리아들은 현재 실험실로 옮겨진 상태다 플라스틱스피어에서 자라는 새로운 유기체의 발견이었다 그렇다면 이 박테리아들이 쓰레기섬 문제를 해결할 수 있을까 이에 대해 제틀러 박사는 일부 미생물은 플라스틱을 먹이로 삼을 수 있다는 점을 인정하지만 이는 연구실에서 박테리아에게 탄소만 공급해 실험한 결과일뿐 실제 자연환경과 다를 수 있다 며 가능성에 대한 확대해석을 경계했다 자세한 내용은 뉴스트리 홈페이지 프로필 링크 참조 플라스틱 쓰레기 쓰레기섬 해양쓰레기 박테리아 플라스틱스피어 제로웨이스트 탄소배출 지구온난화 환경오염 기후위기플라스틱 쓰레기 쓰레기섬 해양쓰레기 박테리아 플라스틱스피어 제로웨이스트 탄소배출 지구온난화 환경오염 기후위기
377,위의 포스터는 실제로 저희 학교에서 쓰레기 분리배출 캠페인 할때 썻던 포스터였는데요 많은 재활용쓰레기 중에 비닐만 따로 모아서 버려도 쓰레기의 부피가 쑤욱 줄어든다고 합니다 앞으로 많은분들이 비닐쓰레기를 깨끗이 씻어서 버리면 좋겠습니다 환경 환경보호 부산청소년환경위원회 환경캠페인 중고등학생 환경문제 환경오염 환경지키기 환경지킴이 비닐쓰레기 분리배출 환경포스터 모두모두 할수있다 누구든지 할수있다 좋아요 맞팔환경 환경보호 부산청소년환경위원회 환경캠페인 중고등학생 환경문제 환경오염 환경지키기 환경지킴이 비닐쓰레기 분리배출 환경포스터 모두모두 할수있다 누구든지 할수있다 좋아요 맞팔
378,안녕하세요 부산청소년환경위원회 입니다부산에서 환경을 생각하는 중고등학생들이 모여 직접 환경문제에 대해 이야기 하고 방안을 생각하며 환경정책도 생각합니다많은분들과 함께 환경을 생각하며 환경을 위해 활동할 수 있었으면 좋겠습니다 감사합니다 환경 환경보호 부산청소년환경위원회 환경캠페인 중고등학생 환경문제 환경오염 환경지키기 환경지킴이 모두모두 할수있다 누구든지 할수있다환경 환경보호 부산청소년환경위원회 환경캠페인 중고등학생 환경문제 환경오염 환경지키기 환경지킴이 모두모두 할수있다 누구든지 할수있다
379,도쿄 올림픽의 탄소배출 감축 성과가 많은 찬사를 받았는데요 일본은 실제로 탄소 배출 감축을 위해 많은 노력을 기울였고 실제 효과가 있었을까요 에서 실제 도쿄 올림픽의 탄소배출량 감축 성과를 런던올림픽과 리우올림픽과 비교해 보았습니다 이번 주 웹사이트에 올라갈 도쿄 올림픽 탄소 감축 전체 보고서가 궁금하시다면 를 방문해주세요 탄소배출 도쿄올림픽 도쿄올림픽 올림픽 환경 환경오염 탄소발자국 탄소배출탄소배출 도쿄올림픽 도쿄올림픽 올림픽 환경 환경오염 탄소발자국 탄소배출
380,지구다챌린지 시즌 그린 인플루언서 팔로우 하기 원래 내일 화욜 미션인데 오늘 미션을 내일 하려고 스위치 여러 모양으로 지구를 지키기 위해 힘쓰는 그린 인플루언서들이 엄청 많은 중에 조금씩 팔로우를 해왔다 내가 팔로잉 하는 그린 인플루언서 분들이랑 지인들이막 뒤죽박죽 섞여 있기도 해서 쉽게 캡처 가능한 부분만 예시로 종종 지구를 지키는 다른 분들의 피드를 보며귀감을 얻기도 하고 도전이 되기도 하고 힘도 얻는다 아 이렇게 함께 하는 지구 지킴이들이 있구나 하고 제로웨이스트 플라스틱프리 그린인플루언서 비건 에너지절약 플로깅 미니멀리스트 지구지킴이 환경운동 환경보호 지구다챌린지 기후위기 환경오염제로웨이스트 플라스틱프리 그린인플루언서 비건 에너지절약 플로깅 미니멀리스트 지구지킴이 환경운동 환경보호 지구다챌린지 기후위기 환경오염
381,안녕하세요 오늘은 지속가능한 미래를 위한 화장품 을 고르는 법에 대한 내용을 컷툰으로 준비해 보았습니다 이제는 정말로 우리가 소비하는 화장품 브랜드가 환경에 끼치는 영향에 대해 생각해봐야 할 때입니다 대표적인 방법은 지속 가능한 미래를 위한 노력 리필 스테이션 친환경 원재료 사용 최소한의 포장 등 을 하고 있는 브랜드를 택하는 것입니다 특히 친환경 원재료를 사용하는 것은 중요한데요 폐기되는 화장품 성분들이 바다와 강 상수도 시설 등으로 흘러 들어갈 수 있기 때문이에요 여기에 추가로 화장품에 함유되기도 하는 팜오일 팜유 이 지구에 끼치는 악영향에 대해서도 간략하게 다뤄보았습니다 이 컷툰을 통해 우리 지구를 생각하는 지속 가능한 미래를 위한 화장품 브랜드를 택하는 법에 대해 관심을 갖고 생각해보게 되는 계기가 되었으면 좋겠습니다
382,목포제로웨이스트수세미 재배중 일상에서 사용중인 제품중에서환경파괴없이 자급자족 할 수 있는 제품을 찾다설겆이에 사용하는 수세미 열매가너무 만족스러워 직접 재배를 결심 제로웨이스트홈 카페에서씨앗을 나눔 받아 모종으로 키워밭에 심었더니 우아 엄청 잘자랍니다 밭관리자인 아버지의 정성이 만바라보는 우리가족의 마음이 너무 뿌듯하고수확해서 사용할 생각을 하니 넘 행복합니다 제로웨이스트 실천공동체 회원들과주변 지인들에게도 나눠드려서 기후위기 제로웨이스트 환경오염 미세플라스틱 관련 문제에 관심을 갖게 하려고 합니다밭한켠에 수박도 자라고우리 아버지 보물 호도 우뚝 멋지네요 이번 경험을 토대로 내년엔 더 큰 무언가에 도전할까 고민중목포제로웨이스트수세미 제로웨이스트홈 제로웨이스트 기후위기 제로웨이스트 환경오염 미세플라스틱
383,얼그레이 향이 은은하게 퍼지는 비건스콘너무 달지 않아서 누구나 호불호 없이맛있게 먹을 수 있어요 비건디저트 맛집 메종드뽀는스토어팜에서 예약 후 픽업하는 시스템으로 운영돼요메종드뽀 비건디저트로 홈카페 즐기며코로나 시기 모두 힘내요 군포에서채식하기 군포채식 채식주의자 비건 군포비건 산본비건 탄소발자국 탄소발자국줄이기 환경오염 기후위기 환경보호 지구온도 탄소배출 지구온난화 기후미식 비건디저트 비건간식 얼그레이스콘 산본디저트추천 산본스콘맛집 디저트클래스 우유없는빵 우유알러지 유당불내증 홈카페 비건홈카페얼그레이 군포에서채식하기 군포채식 채식주의자 비건 군포비건 산본비건 탄소발자국 탄소발자국줄이기 환경오염 기후위기 환경보호 지구온도 탄소배출 지구온난화 기후미식 비건디저트 비건간식 얼그레이스콘 산본디저트추천 산본스콘맛집 디저트클래스 우유없는빵 우유알러지 유당불내증 홈카페 비건홈카페
